iter	Passed	Remaining
531	20988	18463
532	21018	18416
533	21051	18370
534	21082	18323
535	21111	18275
536	21141	18228
537	21171	18180
538	21210	18141
539	21243	18095
540	21272	18048
541	21303	18002
542	21339	17959
543	21368	17911
544	21400	17866
545	21439	17827
546	21471	17781
547	21517	17747
548	21555	17707
549	21595	17668
550	21635	17630
551	21676	17592
552	21714	17552
553	21749	17509
554	21786	17468
555	21829	17432
556	21872	17396
557	21903	17350
558	21961	17325
559	21994	17281
560	22030	17239
561	22077	17206
562	22117	17167
563	22150	17123
564	22179	17076
565	22208	17029
566	22236	16981
567	22264	16933
568	22298	16890
569	22337	16850
570	22379	16813
571	22415	16772
572	22445	16726
573	22478	16682
574	22517	16643
575	22554	16602
576	22598	16567
577	22644	16532
578	22687	16496
579	22733	16462
580	22783	16431
581	22834	16399
582	22890	16372
583	22939	16340
584	22978	16301
585	23018	16262
586	23069	16230
587	23119	16199
588	23155	16157
589	23215	16133
590	23262	16098
591	23313	16067
592	23393	16055
593	23438	16020
594	23476	15979
595	23510	15936
596	23555	15900
597	23589	15857
598	23625	15816
599	23659	15772
600	23696	15731
601	23734	15691
602	23775	15652
603	23830	15623
604	23875	15588
605	23928	15557
606	23982	15527
607	24036	15496
608	24073	15455
609	24127	15425
610	24168	15387
611	24204	15345
612	24243	15305
613	24281	15265
614	24340	15237
615	24391	15205
616	24440	15171
617	24492	15139
618	24536	15102
619	24576	15062
620	24613	15021
621	24649	14980
622	24694	14943
623	24728	14900
624	24768	14861
625	24810	14823
626	24862	14790
627	24917	14760
628	24961	14722
629	25005	14686
630	25056	14652
631	25105	14618
632	25156	14585
633	25194	14544
634	25231	14503
635	25266	14460
636	25311	14424
637	25340	14378
638	25378	14337
639	25416	14296
640	25451	14254
641	25483	14210
642	25512	14164
643	25551	14124
644	25586	14082
645	25621	14040
646	25651	13995
647	25681	13950
648	25712	13905
649	25752	13866
650	25792	13827
651	25846	13795
652	25887	13756
653	25925	13715
654	25970	13678
655	26000	13634
656	26038	13593
657	26084	13557
658	26130	13521
659	26169	13481
660	26212	13443
661	26271	13413
662	26319	13378
663	26361	13339
664	26392	13295
665	26424	13251
666	26458	13209
667	26499	13170
668	26551	13136
669	26597	13100
670	26651	13067
671	26694	13029
672	26747	12996
673	26830	12977
674	26871	12938
675	26906	12896
676	26944	12855
677	26988	12817
678	27031	12779
679	27073	12740
680	27109	12698
681	27139	12654
682	27175	12613
683	27216	12573
684	27250	12531
685	27284	12488
686	27319	12447
687	27362	12408
688	27414	12374
689	27460	12337
690	27502	12298
691	27536	12256
692	27566	12212
693	27601	12170
694	27653	12135
695	27720	12107
696	27760	12067
697	27791	12024
698	27828	11983
699	27877	11947
700	27908	11903
701	27950	11865
702	27987	11823
703	28017	11780
704	28054	11739
705	28103	11703
706	28153	11667
707	28206	11633
708	28254	11596
709	28305	11561
710	28339	11519
711	28370	11475
712	28398	11430
713	28427	11387
714	28456	11342
715	28485	11298
716	28516	11255
717	28546	11211
718	28578	11169
719	28611	11126
720	28648	11086
721	28685	11045
722	28715	11001
723	28760	10963
724	28790	10920
725	28826	10879
726	28864	10839
727	28899	10797
728	28947	10760
729	29001	10726
730	29037	10685
731	29069	10642
732	29101	10600
733	29132	10557
734	29164	10514
735	29195	10472
736	29232	10431
737	29265	10389
738	29310	10351
739	29349	10312
740	29382	10269
741	29421	10229
742	29458	10189
743	29503	10151
744	29548	10113
745	29593	10076
746	29637	10038
747	29689	10002
748	29741	9966
749	29791	9930
750	29844	9895
751	29896	9859
752	29943	9822
753	29983	9782
754	30024	9742
755	30060	9701
756	30109	9665
757	30151	9626
758	30202	9590
759	30256	9554
760	30294	9514
761	30328	9472
762	30367	9432
763	30407	9393
764	30456	9355
765	30499	9317
766	30544	9278
767	30593	9241
768	30641	9204
769	30677	9163
770	30711	9121
771	30753	9082
772	30792	9042
773	30847	9007
774	30920	8977
775	30975	8941
776	31009	8899
777	31041	8857
778	31071	8814
779	31100	8771
780	31130	8729
781	31160	8686
782	31193	8644
783	31224	8602
784	31264	8562
785	31309	8524
786	31339	8481
787	31374	8440
788	31408	8399
789	31441	8357
790	31470	8315
791	31501	8273
792	31531	8230
793	31565	8189
794	31600	8148
795	31631	8106
796	31662	8064
797	31699	8024
798	31738	7984
799	31780	7945
800	31822	7906
801	31855	7864
802	31895	7824
803	31927	7783
804	31959	7741
805	31991	7700
806	32024	7659
807	32065	7619
808	32099	7578
809	32137	7538
810	32176	7498
811	32214	7458
812	32246	7417
813	32280	7376
814	32316	7335
815	32352	7295
816	32394	7256
817	32455	7221
818	32486	7179
819	32524	7139
820	32554	7097
821	32611	7061
822	32648	7021
823	32678	6979
824	32709	6938
825	32739	6896
826	32770	6855
827	32808	6815
828	32838	6773
829	32882	6734
830	32944	6699
831	32976	6658
832	33013	6618
833	33046	6577
834	33077	6536
835	33107	6494
836	33147	6455
837	33178	6413
838	33211	6373
839	33244	6332
840	33281	6292
841	33321	6252
842	33360	6213
843	33394	6172
844	33425	6131
845	33455	6090
846	33485	6048
847	33516	6007
848	33552	5967
849	33603	5930
850	33639	5889
851	33678	5850
852	33709	5809
853	33748	5769
854	33794	5731
855	33841	5692
856	33893	5655
857	33949	5618
858	33993	5579
859	34030	5539
860	34063	5499
861	34122	5462
862	34156	5422
863	34197	5382
864	34242	5344
865	34276	5303
866	34326	5265
867	34378	5228
868	34423	5189
869	34467	5150
870	34506	5110
871	34539	5070
872	34582	5030
873	34619	4990
874	34656	4950
875	34698	4911
876	34751	4873
877	34797	4835
878	34837	4795
879	34876	4755
880	34909	4715
881	34951	4676
882	34997	4637
883	35028	4596
884	35066	4556
885	35107	4517
886	35140	4476
887	35191	4438
888	35243	4400
889	35293	4362
890	35338	4323
891	35375	4283
892	35421	4244
893	35452	4203
894	35484	4162
895	35519	4122
896	35546	4081
897	35574	4040
898	35604	4000
899	35643	3960
900	35677	3920
901	35710	3879
902	35743	3839
903	35776	3799
904	35811	3759
905	35857	3720
906	35902	3681
907	35942	3641
908	35989	3602
909	36031	3563
910	36063	3523
911	36112	3484
912	36145	3444
913	36186	3404
914	36239	3366
915	36280	3326
916	36312	3286
917	36346	3246
918	36379	3206
919	36413	3166
920	36447	3126
921	36493	3087
922	36534	3047
923	36582	3008
924	36626	2969
925	36677	2931
926	36718	2891
927	36752	2851
928	36787	2811
929	36849	2773
930	36892	2734
931	36936	2694
932	36982	2655
933	37023	2616
934	37066	2576
935	37115	2537
936	37165	2498
937	37214	2459
938	37255	2420
939	37300	2380
940	37341	2341
941	37385	2301
942	37438	2263
943	37480	2223
944	37533	2184
945	37577	2144
946	37622	2105
947	37656	2065
948	37694	2025
949	37742	1986
950	37787	1947
951	37826	1907
952	37859	1867
953	37897	1827
954	37931	1787
955	37960	1747
956	37989	1706
957	38019	1666
958	38049	1626
959	38081	1586
960	38112	1546
961	38143	1506
962	38173	1466
963	38203	1426
964	38235	1386
965	38265	1346
966	38301	1307
967	38331	1267
968	38363	1227
969	38406	1187
970	38439	1148
971	38469	1108
972	38500	1068
973	38530	1028
974	38561	988
975	38605	949
976	38635	909
977	38671	869
978	38710	830
979	38742	790
980	38773	750
981	38803	711
982	38846	671
983	38883	632
984	38914	592
985	38944	552
986	38978	513
987	39017	473
988	39057	434
989	39104	394
990	39147	355
991	39191	316
992	39234	276
993	39274	237
994	39310	197
995	39344	158
996	39383	118
997	39419	78
998	39469	39
999	39514	0
